timestep,num_susceptible,num_infected,num_recovered
0,742,456,19
1,153,38,138
2,235,34,15
3,326,128,93
4,436,201,48
5,193,425,91
6,495,297,183
7,482,304,141
8,468,408,125
9,260,121,162
10,167,312,124
11,396,351,68
12,181,313,83
13,731,269,25
14,793,176,47
15,357,129,165
16,267,387,166
17,315,64,15
18,151,245,133
19,135,418,135
20,784,81,92
21,751,432,122
22,784,318,163
23,715,38,144
24,373,183,132
25,628,352,65
26,544,73,90
27,176,202,16
28,521,471,59
29,278,25,39
30,661,248,136
31,147,214,100
32,617,107,46
33,186,246,166
34,773,263,89
35,414,97,30
36,282,95,79
37,635,270,188
38,369,428,120
39,181,52,71
40,122,82,166
41,516,154,92
42,551,306,186
43,301,158,52
44,296,488,132
45,131,356,43
46,375,260,10
47,107,0,96
48,781,220,199
49,788,441,14
