timestep,num_susceptible,num_infected,num_recovered
0,453,101,139
1,368,82,61
2,642,285,135
3,698,115,165
4,281,204,53
5,602,105,66
6,526,289,14
7,648,395,30
8,560,318,56
9,655,206,167
10,169,398,79
11,187,171,78
12,716,122,170
13,500,357,67
14,660,210,13
15,438,292,4
16,339,115,22
17,607,367,24
18,307,3,108
19,438,224,30
20,773,95,2
21,557,356,3
22,450,6,100
23,512,60,182
24,328,415,159
25,302,88,43
26,464,73,110
27,473,215,64
28,335,460,111
29,262,25,167
30,790,89,181
31,402,133,99
32,247,86,2
33,335,27,186
34,773,25,200
35,158,27,45
36,677,468,175
37,211,324,138
38,514,294,72
39,779,494,111
40,485,7,164
41,611,390,109
42,492,459,137
43,313,98,141
44,581,41,194
45,193,297,86
46,440,63,159
47,599,289,168
48,336,100,150
49,712,408,57
