timestep,num_susceptible,num_infected,num_recovered
0,436,151,103
1,412,409,31
2,138,405,105
3,390,400,6
4,231,358,91
5,210,110,16
6,124,70,129
7,669,59,24
8,677,343,75
9,453,315,5
10,709,318,143
11,202,411,58
12,424,212,178
13,150,116,72
14,715,336,163
15,626,317,94
16,478,147,121
17,529,1,109
18,723,467,158
19,602,105,132
20,579,85,45
21,197,331,16
22,251,436,142
23,755,74,132
24,595,420,51
25,250,461,182
26,249,494,133
27,462,85,194
28,621,164,76
29,622,91,159
30,550,488,172
31,304,166,1
32,411,402,70
33,284,212,83
34,668,64,143
35,263,342,109
36,709,239,86
37,294,232,121
38,589,43,147
39,790,108,120
40,462,499,73
41,313,233,41
42,741,26,144
43,326,435,183
44,504,190,28
45,731,384,17
46,698,127,167
47,469,109,44
48,363,391,63
49,781,441,43
